number,radius,x,y,label,path
648,16.0,34.0,16.0,1,dataset\0648.h5
649,,,,0,dataset\0649.h5
650,,,,0,dataset\0650.h5
651,,,,0,dataset\0651.h5
652,,,,0,dataset\0652.h5
653,,,,0,dataset\0653.h5
654,,,,0,dataset\0654.h5
655,,,,0,dataset\0655.h5
656,11.0,37.0,44.0,1,dataset\0656.h5
657,,,,0,dataset\0657.h5
658,8.0,56.0,56.0,1,dataset\0658.h5
659,,,,0,dataset\0659.h5
660,,,,0,dataset\0660.h5
661,,,,0,dataset\0661.h5
662,31.0,34.0,44.0,1,dataset\0662.h5
663,9.0,59.0,25.0,1,dataset\0663.h5
664,,,,0,dataset\0664.h5
665,25.0,44.0,54.0,1,dataset\0665.h5
666,19.0,16.0,1.0,1,dataset\0666.h5
667,,,,0,dataset\0667.h5
668,31.0,58.0,25.0,1,dataset\0668.h5
669,,,,0,dataset\0669.h5
670,,,,0,dataset\0670.h5
671,,,,0,dataset\0671.h5
672,30.0,14.0,6.0,1,dataset\0672.h5
673,,,,0,dataset\0673.h5
674,21.0,64.0,37.0,1,dataset\0674.h5
675,30.0,60.0,10.0,1,dataset\0675.h5
676,,,,0,dataset\0676.h5
677,,,,0,dataset\0677.h5
678,11.0,61.0,36.0,1,dataset\0678.h5
679,9.0,23.0,10.0,1,dataset\0679.h5
680,5.0,1.0,63.0,1,dataset\0680.h5
681,,,,0,dataset\0681.h5
682,,,,0,dataset\0682.h5
683,,,,0,dataset\0683.h5
684,11.0,25.0,63.0,1,dataset\0684.h5
685,,,,0,dataset\0685.h5
686,7.0,53.0,40.0,1,dataset\0686.h5
687,25.0,59.0,40.0,1,dataset\0687.h5
688,,,,0,dataset\0688.h5
689,19.0,43.0,52.0,1,dataset\0689.h5
690,8.0,6.0,58.0,1,dataset\0690.h5
691,,,,0,dataset\0691.h5
692,16.0,56.0,58.0,1,dataset\0692.h5
693,,,,0,dataset\0693.h5
694,9.0,56.0,51.0,1,dataset\0694.h5
695,,,,0,dataset\0695.h5
696,,,,0,dataset\0696.h5
697,7.0,30.0,58.0,1,dataset\0697.h5
698,,,,0,dataset\0698.h5
699,21.0,62.0,2.0,1,dataset\0699.h5
700,,,,0,dataset\0700.h5
701,,,,0,dataset\0701.h5
702,32.0,4.0,7.0,1,dataset\0702.h5
703,30.0,51.0,37.0,1,dataset\0703.h5
704,29.0,34.0,52.0,1,dataset\0704.h5
705,,,,0,dataset\0705.h5
706,,,,0,dataset\0706.h5
707,,,,0,dataset\0707.h5
708,,,,0,dataset\0708.h5
709,,,,0,dataset\0709.h5
710,22.0,5.0,18.0,1,dataset\0710.h5
711,,,,0,dataset\0711.h5
712,31.0,22.0,62.0,1,dataset\0712.h5
713,,,,0,dataset\0713.h5
714,,,,0,dataset\0714.h5
715,,,,0,dataset\0715.h5
716,,,,0,dataset\0716.h5
717,,,,0,dataset\0717.h5
718,12.0,9.0,39.0,1,dataset\0718.h5
719,31.0,45.0,18.0,1,dataset\0719.h5
720,21.0,35.0,46.0,1,dataset\0720.h5
721,,,,0,dataset\0721.h5
722,,,,0,dataset\0722.h5
723,11.0,14.0,59.0,1,dataset\0723.h5
724,13.0,21.0,41.0,1,dataset\0724.h5
725,16.0,16.0,52.0,1,dataset\0725.h5
726,20.0,54.0,51.0,1,dataset\0726.h5
727,16.0,59.0,19.0,1,dataset\0727.h5
728,,,,0,dataset\0728.h5
729,,,,0,dataset\0729.h5
730,5.0,38.0,6.0,1,dataset\0730.h5
731,,,,0,dataset\0731.h5
732,,,,0,dataset\0732.h5
733,,,,0,dataset\0733.h5
734,30.0,42.0,5.0,1,dataset\0734.h5
735,,,,0,dataset\0735.h5
736,,,,0,dataset\0736.h5
737,,,,0,dataset\0737.h5
738,5.0,47.0,15.0,1,dataset\0738.h5
739,14.0,52.0,21.0,1,dataset\0739.h5
740,6.0,40.0,21.0,1,dataset\0740.h5
741,,,,0,dataset\0741.h5
742,13.0,20.0,20.0,1,dataset\0742.h5
743,,,,0,dataset\0743.h5
744,15.0,44.0,37.0,1,dataset\0744.h5
745,14.0,42.0,42.0,1,dataset\0745.h5
746,4.0,2.0,50.0,1,dataset\0746.h5
747,,,,0,dataset\0747.h5
748,,,,0,dataset\0748.h5
749,,,,0,dataset\0749.h5
750,5.0,62.0,48.0,1,dataset\0750.h5
751,9.0,22.0,8.0,1,dataset\0751.h5
752,,,,0,dataset\0752.h5
753,31.0,58.0,29.0,1,dataset\0753.h5
754,,,,0,dataset\0754.h5
755,,,,0,dataset\0755.h5
756,,,,0,dataset\0756.h5
757,15.0,9.0,30.0,1,dataset\0757.h5
758,25.0,37.0,2.0,1,dataset\0758.h5
759,,,,0,dataset\0759.h5
760,,,,0,dataset\0760.h5
761,4.0,10.0,29.0,1,dataset\0761.h5
762,11.0,10.0,61.0,1,dataset\0762.h5
763,,,,0,dataset\0763.h5
764,11.0,30.0,14.0,1,dataset\0764.h5
765,4.0,28.0,34.0,1,dataset\0765.h5
766,,,,0,dataset\0766.h5
767,18.0,35.0,8.0,1,dataset\0767.h5
768,23.0,41.0,47.0,1,dataset\0768.h5
769,6.0,0.0,49.0,1,dataset\0769.h5
770,18.0,54.0,12.0,1,dataset\0770.h5
771,,,,0,dataset\0771.h5
772,18.0,0.0,43.0,1,dataset\0772.h5
773,,,,0,dataset\0773.h5
774,20.0,12.0,52.0,1,dataset\0774.h5
775,30.0,64.0,0.0,1,dataset\0775.h5
776,31.0,44.0,24.0,1,dataset\0776.h5
777,,,,0,dataset\0777.h5
778,5.0,64.0,56.0,1,dataset\0778.h5
779,,,,0,dataset\0779.h5
780,20.0,18.0,36.0,1,dataset\0780.h5
781,,,,0,dataset\0781.h5
782,19.0,33.0,46.0,1,dataset\0782.h5
783,31.0,46.0,55.0,1,dataset\0783.h5
784,18.0,64.0,53.0,1,dataset\0784.h5
785,,,,0,dataset\0785.h5
786,,,,0,dataset\0786.h5
787,11.0,61.0,37.0,1,dataset\0787.h5
788,31.0,57.0,17.0,1,dataset\0788.h5
789,,,,0,dataset\0789.h5
790,,,,0,dataset\0790.h5
791,19.0,35.0,32.0,1,dataset\0791.h5
792,10.0,25.0,62.0,1,dataset\0792.h5
793,25.0,22.0,28.0,1,dataset\0793.h5
794,8.0,55.0,45.0,1,dataset\0794.h5
795,,,,0,dataset\0795.h5
796,6.0,25.0,30.0,1,dataset\0796.h5
797,25.0,19.0,53.0,1,dataset\0797.h5
798,,,,0,dataset\0798.h5
799,,,,0,dataset\0799.h5
800,32.0,47.0,53.0,1,dataset\0800.h5
801,21.0,42.0,43.0,1,dataset\0801.h5
802,25.0,55.0,6.0,1,dataset\0802.h5
803,13.0,9.0,44.0,1,dataset\0803.h5
804,,,,0,dataset\0804.h5
805,20.0,43.0,61.0,1,dataset\0805.h5
806,17.0,11.0,28.0,1,dataset\0806.h5
807,,,,0,dataset\0807.h5
808,,,,0,dataset\0808.h5
809,15.0,29.0,27.0,1,dataset\0809.h5
810,,,,0,dataset\0810.h5
811,11.0,10.0,16.0,1,dataset\0811.h5
812,,,,0,dataset\0812.h5
813,15.0,28.0,8.0,1,dataset\0813.h5
814,5.0,26.0,22.0,1,dataset\0814.h5
815,11.0,41.0,15.0,1,dataset\0815.h5
816,,,,0,dataset\0816.h5
817,,,,0,dataset\0817.h5
818,,,,0,dataset\0818.h5
819,11.0,7.0,57.0,1,dataset\0819.h5
820,,,,0,dataset\0820.h5
821,22.0,52.0,47.0,1,dataset\0821.h5
822,29.0,16.0,21.0,1,dataset\0822.h5
823,18.0,8.0,10.0,1,dataset\0823.h5
824,22.0,38.0,62.0,1,dataset\0824.h5
825,,,,0,dataset\0825.h5
826,32.0,17.0,46.0,1,dataset\0826.h5
827,15.0,52.0,37.0,1,dataset\0827.h5
828,,,,0,dataset\0828.h5
829,11.0,50.0,55.0,1,dataset\0829.h5
830,,,,0,dataset\0830.h5
831,,,,0,dataset\0831.h5
832,28.0,8.0,17.0,1,dataset\0832.h5
833,,,,0,dataset\0833.h5
834,,,,0,dataset\0834.h5
835,,,,0,dataset\0835.h5
836,,,,0,dataset\0836.h5
837,20.0,25.0,8.0,1,dataset\0837.h5
838,,,,0,dataset\0838.h5
839,,,,0,dataset\0839.h5
840,5.0,10.0,61.0,1,dataset\0840.h5
841,,,,0,dataset\0841.h5
842,,,,0,dataset\0842.h5
843,,,,0,dataset\0843.h5
844,13.0,18.0,41.0,1,dataset\0844.h5
845,8.0,22.0,60.0,1,dataset\0845.h5
846,,,,0,dataset\0846.h5
847,,,,0,dataset\0847.h5
848,24.0,1.0,20.0,1,dataset\0848.h5
849,,,,0,dataset\0849.h5
850,,,,0,dataset\0850.h5
851,,,,0,dataset\0851.h5
852,,,,0,dataset\0852.h5
853,,,,0,dataset\0853.h5
854,31.0,27.0,4.0,1,dataset\0854.h5
855,22.0,41.0,33.0,1,dataset\0855.h5
856,,,,0,dataset\0856.h5
857,24.0,35.0,3.0,1,dataset\0857.h5
858,,,,0,dataset\0858.h5
859,,,,0,dataset\0859.h5
860,16.0,30.0,1.0,1,dataset\0860.h5
861,30.0,58.0,64.0,1,dataset\0861.h5
862,,,,0,dataset\0862.h5
863,,,,0,dataset\0863.h5
864,,,,0,dataset\0864.h5
865,22.0,36.0,16.0,1,dataset\0865.h5
866,19.0,22.0,47.0,1,dataset\0866.h5
867,,,,0,dataset\0867.h5
868,,,,0,dataset\0868.h5
869,11.0,15.0,45.0,1,dataset\0869.h5
870,13.0,27.0,56.0,1,dataset\0870.h5
871,,,,0,dataset\0871.h5
872,31.0,16.0,2.0,1,dataset\0872.h5
873,9.0,32.0,12.0,1,dataset\0873.h5
874,16.0,61.0,29.0,1,dataset\0874.h5
875,,,,0,dataset\0875.h5
876,14.0,26.0,1.0,1,dataset\0876.h5
877,10.0,50.0,52.0,1,dataset\0877.h5
878,30.0,46.0,3.0,1,dataset\0878.h5
879,,,,0,dataset\0879.h5
880,,,,0,dataset\0880.h5
881,,,,0,dataset\0881.h5
882,11.0,31.0,58.0,1,dataset\0882.h5
883,,,,0,dataset\0883.h5
884,,,,0,dataset\0884.h5
885,11.0,60.0,28.0,1,dataset\0885.h5
886,27.0,62.0,44.0,1,dataset\0886.h5
887,8.0,22.0,33.0,1,dataset\0887.h5
888,,,,0,dataset\0888.h5
889,,,,0,dataset\0889.h5
890,,,,0,dataset\0890.h5
891,5.0,4.0,38.0,1,dataset\0891.h5
892,8.0,17.0,51.0,1,dataset\0892.h5
893,5.0,33.0,13.0,1,dataset\0893.h5
894,,,,0,dataset\0894.h5
895,,,,0,dataset\0895.h5
896,,,,0,dataset\0896.h5
897,23.0,20.0,57.0,1,dataset\0897.h5
898,5.0,20.0,13.0,1,dataset\0898.h5
899,21.0,47.0,58.0,1,dataset\0899.h5
900,14.0,38.0,18.0,1,dataset\0900.h5
901,10.0,43.0,33.0,1,dataset\0901.h5
902,,,,0,dataset\0902.h5
903,,,,0,dataset\0903.h5
904,28.0,7.0,54.0,1,dataset\0904.h5
905,30.0,64.0,31.0,1,dataset\0905.h5
906,32.0,47.0,53.0,1,dataset\0906.h5
907,,,,0,dataset\0907.h5
908,,,,0,dataset\0908.h5
909,,,,0,dataset\0909.h5
910,,,,0,dataset\0910.h5
911,13.0,50.0,39.0,1,dataset\0911.h5
912,,,,0,dataset\0912.h5
913,,,,0,dataset\0913.h5
914,,,,0,dataset\0914.h5
915,,,,0,dataset\0915.h5
916,17.0,62.0,7.0,1,dataset\0916.h5
917,,,,0,dataset\0917.h5
918,22.0,43.0,44.0,1,dataset\0918.h5
919,,,,0,dataset\0919.h5
920,,,,0,dataset\0920.h5
921,7.0,6.0,12.0,1,dataset\0921.h5
922,,,,0,dataset\0922.h5
923,19.0,56.0,37.0,1,dataset\0923.h5
924,4.0,0.0,59.0,1,dataset\0924.h5
925,,,,0,dataset\0925.h5
926,,,,0,dataset\0926.h5
927,,,,0,dataset\0927.h5
928,5.0,40.0,0.0,1,dataset\0928.h5
929,,,,0,dataset\0929.h5
930,,,,0,dataset\0930.h5
931,,,,0,dataset\0931.h5
932,,,,0,dataset\0932.h5
933,28.0,54.0,60.0,1,dataset\0933.h5
934,4.0,16.0,14.0,1,dataset\0934.h5
935,,,,0,dataset\0935.h5
936,,,,0,dataset\0936.h5
937,20.0,52.0,57.0,1,dataset\0937.h5
938,,,,0,dataset\0938.h5
939,,,,0,dataset\0939.h5
940,6.0,3.0,8.0,1,dataset\0940.h5
941,,,,0,dataset\0941.h5
942,22.0,42.0,48.0,1,dataset\0942.h5
943,,,,0,dataset\0943.h5
944,,,,0,dataset\0944.h5
945,,,,0,dataset\0945.h5
946,,,,0,dataset\0946.h5
947,21.0,31.0,29.0,1,dataset\0947.h5
948,,,,0,dataset\0948.h5
949,,,,0,dataset\0949.h5
950,29.0,35.0,59.0,1,dataset\0950.h5
951,,,,0,dataset\0951.h5
952,23.0,4.0,63.0,1,dataset\0952.h5
953,,,,0,dataset\0953.h5
954,,,,0,dataset\0954.h5
955,20.0,53.0,34.0,1,dataset\0955.h5
956,,,,0,dataset\0956.h5
957,,,,0,dataset\0957.h5
958,,,,0,dataset\0958.h5
959,,,,0,dataset\0959.h5
960,6.0,38.0,35.0,1,dataset\0960.h5
961,14.0,38.0,36.0,1,dataset\0961.h5
962,,,,0,dataset\0962.h5
963,11.0,6.0,30.0,1,dataset\0963.h5
964,18.0,8.0,20.0,1,dataset\0964.h5
965,13.0,34.0,22.0,1,dataset\0965.h5
966,30.0,46.0,46.0,1,dataset\0966.h5
967,29.0,44.0,57.0,1,dataset\0967.h5
968,30.0,33.0,20.0,1,dataset\0968.h5
969,,,,0,dataset\0969.h5
970,,,,0,dataset\0970.h5
971,11.0,58.0,11.0,1,dataset\0971.h5
972,,,,0,dataset\0972.h5
973,18.0,58.0,39.0,1,dataset\0973.h5
974,,,,0,dataset\0974.h5
975,7.0,9.0,11.0,1,dataset\0975.h5
976,29.0,62.0,46.0,1,dataset\0976.h5
977,6.0,35.0,12.0,1,dataset\0977.h5
978,18.0,38.0,4.0,1,dataset\0978.h5
979,,,,0,dataset\0979.h5
980,,,,0,dataset\0980.h5
981,28.0,36.0,14.0,1,dataset\0981.h5
982,,,,0,dataset\0982.h5
983,26.0,63.0,31.0,1,dataset\0983.h5
984,30.0,6.0,48.0,1,dataset\0984.h5
985,,,,0,dataset\0985.h5
986,6.0,25.0,18.0,1,dataset\0986.h5
987,,,,0,dataset\0987.h5
988,8.0,36.0,62.0,1,dataset\0988.h5
989,,,,0,dataset\0989.h5
990,18.0,57.0,34.0,1,dataset\0990.h5
991,,,,0,dataset\0991.h5
992,12.0,45.0,4.0,1,dataset\0992.h5
993,22.0,54.0,14.0,1,dataset\0993.h5
994,,,,0,dataset\0994.h5
995,12.0,57.0,7.0,1,dataset\0995.h5
996,29.0,62.0,3.0,1,dataset\0996.h5
997,5.0,62.0,30.0,1,dataset\0997.h5
998,22.0,48.0,8.0,1,dataset\0998.h5
999,25.0,61.0,47.0,1,dataset\0999.h5
